region,section,row_type,level,row_index,description,budget_anterieur,restes_a_realiser_n1,propositions_nouvelles,vote_assemblee,total_budget
IdF,operating_revenue,data,0,17,93 Services ventilés,153250000,0,320770000,320770000,320770000
IdF,operating_revenue,data,0,18,94 Services communs non ventilés,5459858000,0,5589045500,5589045500,5589045500
IdF,operating_revenue,data,0,19,002 Résultat de fonctionnement reporté,0,,0,0,0
Normandie,investment_expense,section_header,0,0,DEPENSES D’INVESTISSEMENT,1255879963,0,1382520883,1382520483,1382520483
Normandie,investment_expense,data,0,1,90 Opérations ventilées,859301895,0,976788190,976787790,976787790
Normandie,investment_expense,data,1,1,-en AP/CP (2),859299895,0,976788190,976787790,976787790
Normandie,investment_expense,data,1,1,-hors AP/CP (2),2000,0,0,0,0
Normandie,investment_expense,data,1,1,Dont opérations pour comptes de tiers,0,0,0,0,0
Normandie,investment_expense,data,0,2,92 Opérations non ventilées,396578068,0,405732693,405732693,405732693
Normandie,investment_expense,data,0,3,001 Solde exécution invest. reporté,0,,0,0,0
Normandie,investment_revenue,section_header,0,4,RECETTES D’INVESTISSEMENT,1255879963,0,1382520483,1382520483,1382520483
Normandie,investment_revenue,data,0,5,90 Opérations ventilées,211521611,0,230006108,230006108,230006108
Normandie,investment_revenue,data,1,5,-Recettes affectées,211521611,0,230006108,230006108,230006108
Normandie,investment_revenue,data,1,5,-Financement par le tiers de l’opération confiée à la collectivité,0,0,0,0,0
Normandie,investment_revenue,data,0,6,92 Opérations non ventilées (sauf 922-1068),1043123352,0,1146514375,1146514375,1146514375
Normandie,investment_revenue,data,0,7,954 Produit des cessions d'immobilisations,0,0,6e+06,6e+06,6e+06
Normandie,investment_revenue,data,0,8,951 Virement de la section de fonctionnement,1235000,,0,0,0
Normandie,investment_revenue,data,0,9,922-1068 Excédents de fonctionnement capitalisés,0,,0,0,0
Normandie,investment_revenue,data,0,10,001 Solde exécution invest. reporté,0,,0,0,0
Normandie,operating_expense,section_header,0,11,DEPENSES DE FONCTIONNEMENT,1798194547,0,1832904493,1832904493,1832904493
Normandie,operating_expense,data,0,12,93 Services ventilés,1210542290,0,1242450467,1242450467,1242450467
Normandie,operating_expense,data,1,12,-en AE/CP,896497293,0,927010549,927010549,927010549
Normandie,operating_expense,data,1,12,-hors AE/CP,314044997,0,315439918,315439918,315439918
Normandie,operating_expense,data,0,13,94 Services communs non ventilés,586417257,0,590454026,590454026,590454026
Normandie,operating_expense,data,0,14,953 Virement à la section d'investissement,1235000,,0,0,0
Normandie,operating_expense,data,0,15,002 Résultat de fonctionnement reporté,0,,0,0,0
Normandie,operating_revenue,section_header,0,16,RECETTES DE FONCTIONNEMENT,1798194547,0,1832904493,1832904493,1832904493
Normandie,operating_revenue,data,0,17,93 Services ventilés,173237373,0,128087083,128087083,128087083
Normandie,operating_revenue,data,0,18,94 Services communs non ventilés,1624957174,0,1704817410,1704817410,1704817410
Normandie,operating_revenue,data,0,19,002 Résultat de fonctionnement reporté,0,,0,0,0
Nouvelle-Aquitaine,investment_expense,section_header,0,0,DEPENSES D’INVESTISSEMENT,0,0,2703924625.18,2703924625.18,2703924625.18
Nouvelle-Aquitaine,investment_expense,data,0,1,90 Opérations ventilées,0,0,1117774048,1117774048,1117774048
Nouvelle-Aquitaine,investment_expense,data,1,1,- en AP/CP (2),0,0,1117729048,1117729048,1117729048
Nouvelle-Aquitaine,investment_expense,data,1,1,- hors AP/CP (2),0,0,45000,45000,45000
